iter	Passed	Remaining
0	169	84333
1	170	42488
2	171	28461
3	173	21478
4	174	17267
5	175	14455
6	176	12451
7	178	10956
8	179	9804
9	180	8867
10	182	8102
11	183	7462
12	184	6928
13	186	6464
14	187	6064
15	188	5710
16	190	5400
17	191	5128
18	192	4881
19	194	4660
20	195	4459
21	196	4276
22	198	4112
23	199	3960
24	200	3818
25	202	3686
26	203	3567
27	204	3453
28	206	3347
29	207	3249
30	208	3157
31	210	3074
32	211	2993
33	212	2917
34	214	2846
35	215	2778
36	216	2715
37	218	2654
38	219	2596
39	221	2541
40	222	2488
41	223	2439
42	225	2391
43	226	2345
44	227	2300
45	228	2259
46	230	2220
47	231	2180
48	232	2142
49	233	2105
50	235	2071
51	236	2037
52	237	2005
53	238	1972
54	239	1941
55	241	1912
56	242	1886
57	244	1861
58	245	1835
59	246	1810
60	248	1785
61	249	1762
62	250	1738
63	251	1716
64	253	1694
65	254	1674
66	256	1654
67	257	1634
68	258	1615
69	260	1597
70	261	1579
71	262	1562
72	264	1544
73	265	1527
74	266	1509
75	267	1494
76	269	1478
77	270	1462
78	271	1447
79	272	1432
80	274	1418
81	275	1404
82	276	1390
83	278	1377
84	279	1364
85	280	1351
86	282	1339
87	283	1326
88	284	1314
89	285	1302
90	287	1291
91	288	1279
92	289	1268
93	290	1256
94	292	1245
95	293	1234
96	294	1225
97	296	1215
98	297	1205
99	298	1194
100	300	1185
101	301	1176
102	302	1167
103	304	1157
104	305	1148
105	306	1140
106	308	1131
107	309	1122
108	310	1113
109	311	1105
110	313	1097
111	314	1089
112	315	1081
113	317	1073
114	318	1065
115	319	1058
116	320	1050
117	322	1043
118	323	1035
119	324	1028
120	326	1021
121	327	1014
122	328	1007
123	330	1000
124	331	994
125	332	987
126	334	981
127	335	974
128	336	968
129	338	962
130	339	956
131	340	950
132	342	944
133	343	938
134	344	931
135	346	926
136	347	921
137	349	915
138	350	910
139	351	904
140	353	899
141	354	894
142	355	888
143	357	883
144	358	878
145	360	873
146	361	868
147	363	864
148	365	861
149	367	858
150	369	853
151	370	849
152	372	845
153	374	841
154	376	838
155	377	833
156	379	829
157	380	824
158	382	819
159	383	815
160	385	811
161	386	806
162	387	801
163	389	797
164	390	792
165	391	788
166	393	784
167	394	779
168	395	775
169	397	770
170	398	766
171	399	762
172	400	757
173	402	753
174	403	749
175	404	745
176	406	741
177	407	737
178	408	733
179	410	729
180	411	725
181	412	721
182	414	717
183	415	713
184	416	709
185	417	705
186	419	701
187	420	698
188	421	694
189	423	690
190	424	687
191	426	683
192	427	679
193	428	676
194	430	673
195	431	669
196	432	665
197	434	662
198	435	658
